周期(s),角频率(rad/s),振幅(deg),相差(deg)
1.4825,4.2382,34,148
1.4912,4.2135,37,145
1.4992,4.1910,40,142
1.5072,4.1688,43,138
1.5122,4.1304,49,130
1.5285,4.1099,52,125
1.5353,4.0925,55,121
1.5425,4.0734,59,115
1.5491,4.0560,62,109
1.5582,4.0323,65,101
1.5652,4.0143,66,94
1.5687,4.0053,67,90
1.5727,3.9952,67,86
1.5761,3.9865,66,82
1.5838,3.9672,65,75
1.5906,3.9502,62,69
1.5988,3.9299,59,63
1.6161,3.8879,52,52
1.6229,3.8716,49,48
1.6301,3.8545,47,45
1.6381,3.8357,44,42
1.6460,3.8172,41,39
1.6507,3.8064,40,37
